phase,frame,x,y,comx,comy,vx,vy,angle,omega,localcx,localcy
before,0,0.225999996,0.156000003,0.258173943,0.131869555,0.000000000,0.000000000,-0.643501103,-15.000000000,0.040217418,0.000000000
after,0,0.225999996,0.156000003,0.258173943,0.131869555,0.000000000,-0.000000000,-0.643501043,-0.000000000,0.040217418,0.000000000
before,1,0.225999996,0.156000003,0.258173943,0.131869555,0.000000000,-0.000000000,-0.643501043,-15.000000000,0.040217418,0.000000000
after,1,0.225999996,0.156000003,0.254902422,0.128034100,-0.182091415,-0.242788583,-0.768931806,-7.546126366,0.040217418,0.000000000
before,2,0.225999996,0.156000003,0.254902422,0.128034100,-0.182091415,-0.242788583,-0.768931806,-15.000000000,0.040217418,0.000000000
after,2,0.226008624,0.155992940,0.256717801,0.130023971,-0.000000000,-0.000000000,-0.701958776,-0.000000000,0.040217418,0.000000000
before,3,0.226008624,0.155992940,0.256717801,0.130023971,-0.000000000,-0.000000000,-0.701958776,-15.000000000,0.040217418,0.000000000
after,3,0.226000592,0.155999541,0.257157356,0.130569294,0.000000000,0.000000000,-0.684543133,0.000000000,0.040217418,0.000000000
before,4,0.226000592,0.155999541,0.257157356,0.130569294,0.000000000,0.000000000,-0.684543133,-15.000000000,0.040217418,0.000000000
after,4,0.226000041,0.155999973,0.257271856,0.130711347,-0.000000000,0.000000000,-0.680005968,-0.000000000,0.040217418,0.000000000
before,5,0.226000041,0.155999973,0.257271856,0.130711347,-0.000000000,0.000000000,-0.680005968,-15.000000000,0.040217418,0.000000000
after,5,0.225999996,0.156000003,0.257301688,0.130748361,0.000000000,0.000000000,-0.678824008,-0.000000000,0.040217418,0.000000000
before,6,0.225999996,0.156000003,0.257301688,0.130748361,0.000000000,0.000000000,-0.678824008,-15.000000000,0.040217418,0.000000000
after,6,0.225999996,0.156000003,0.257309467,0.130758017,0.000000000,0.000000000,-0.678516090,-0.000000000,0.040217418,0.000000000
before,7,0.225999996,0.156000003,0.257309467,0.130758017,0.000000000,0.000000000,-0.678516090,-15.000000000,0.040217418,0.000000000
after,7,0.225999996,0.156000003,0.257311493,0.130760521,0.000000000,0.000000000,-0.678435922,-0.000000000,0.040217418,0.000000000
before,8,0.225999996,0.156000003,0.257311493,0.130760521,0.000000000,0.000000000,-0.678435922,-15.000000000,0.040217418,0.000000000
after,8,0.225999996,0.156000003,0.257312000,0.130761176,0.000000000,0.000000000,-0.678415060,-0.000000000,0.040217418,0.000000000
before,9,0.225999996,0.156000003,0.257312000,0.130761176,0.000000000,0.000000000,-0.678415060,-15.000000000,0.040217418,0.000000000
after,9,0.225999996,0.156000003,0.257312149,0.130761355,0.000000000,0.000000000,-0.678409457,-0.000000000,0.040217418,0.000000000
before,10,0.225999996,0.156000003,0.257312149,0.130761355,0.000000000,0.000000000,-0.678409457,-15.000000000,0.040217418,0.000000000
after,10,0.225999996,0.156000003,0.257312179,0.130761385,-0.000000000,0.000000000,-0.678408086,-0.000000000,0.040217418,0.000000000
before,11,0.225999996,0.156000003,0.257312179,0.130761385,-0.000000000,0.000000000,-0.678408086,-15.000000000,0.040217418,0.000000000
after,11,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,12,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,12,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,13,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,13,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,14,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,14,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,15,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,15,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,16,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,16,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,17,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,17,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,18,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,18,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,19,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,19,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,20,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,20,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,21,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,21,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,22,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,22,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,23,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,23,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,24,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,24,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,25,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,25,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,26,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,26,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,27,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,27,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,28,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,28,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,29,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,29,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,30,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,30,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,31,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,31,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,32,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,32,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,33,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,33,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,34,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,34,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,35,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
